issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,description,status,escalated,is_overdue,feedback_rating,feedback_comment
ISS-1303,Nyarugenge,Kigali,Nyarugenge,22/01/2025,17/02/2025,public Safety,Cell,Broken streetlight at the football field for 3 days.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1304,Gasabo,Kimironko,Bibare,19/07/2025,12/8/2025,Water & sanitation,Cell,Overgrown bushes blocking footpaths at the main road for over a month.,Resolved,No,Yes,4,Good communication throughout.
ISS-1305,Nyarugenge,Nyamirambo,Rwezamenyo II,30/07/2025,17/08/2025,Water & sanitation,District,Blocked drainage causing floods in the village center for 2 months now.,Resolved,No,Yes,1,"Poor handling, not happy."
ISS-1306,Kicukiro,Kigarama,Kigarama II,9/1/2025,21/01/2025,Education,Sector,Water shortage in the area in the residential area for 3 days.,Resolved,No,No,3,The issue is still not fully fixed.
ISS-1307,Gasabo,Remera,Nyabisindu,6/6/2025,12/6/2025,Water & sanitation,District,Open sewage causing bad smell next to the bus stop for several weeks.,Resolved,No,No,4,Took longer than expected.
ISS-1308,Gasabo,Remera,Rukiri II,2/6/2025,13/06/2025,Social services,Sector,Lack of waste bins in public areas behind the local office for several weeks.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1309,Kicukiro,Gikondo,Gikondo,16/01/2025,13/02/2025,Education,Sector,Road full of potholes in the residential area for 1 week.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1310,Gasabo,Remera,Nyabisindu,11/4/2025,30/04/2025,Education,District,School lacks enough desks in the village center since the rainy season began.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1311,Kicukiro,Gikondo,Rwimbogo,12/5/2025,4/6/2025,Health and Services ,Sector,Garbage collection delay near the river since this morning.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1312,Kicukiro,Gikondo,Gikondo,28/04/2025,21/05/2025,Health and Services ,District,Blocked drainage causing floods near the health post since the rainy season began.,Resolved,No,Yes,3,Service was quick and effective.
ISS-1313,Nyarugenge,Kigali,Kiyovu,10/3/2025,20/03/2025,Education,Sector,Unsafe pedestrian crossing without signs behind the local office since last week.,Resolved,No,No,4,Good communication throughout.
ISS-1314,Nyarugenge,Nyamirambo,Rwezamenyo II,15/07/2025,,Water & sanitation,District,School lacks enough desks next to the bus stop since this morning.,Open,No,Yes,,
ISS-1315,Nyarugenge,Kigali,Kiyovu,27/04/2025,,Education,Sector,Unsafe pedestrian crossing without signs by the primary school for almost a year.,In Progress,No,Yes,,
ISS-1316,Gasabo,Remera,Rukiri II,24/01/2025,2/2/2025,Education,Sector,Lack of waste bins in public areas by the primary school for almost a year.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1317,Nyarugenge,Nyamirambo,Mumena,29/06/2025,13/07/2025,Water & sanitation,District,Water shortage in the area near the health post since the rainy season began.,Resolved,No,No,5,Service was quick and effective.
ISS-1318,Nyarugenge,Nyamirambo,Mumena,3/2/2025,20/02/2025,public Safety,Cell,Public toilet not functioning at the main road for several weeks.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1319,Gasabo,Kimironko,Bibare,19/01/2025,22/01/2025,Education,Sector,Road full of potholes in the village center for 1 week.,Resolved,No,No,4,Service was quick and effective.
ISS-1320,Kicukiro,Gikondo,Rwimbogo,14/06/2025,19/06/2025,public Safety,Cell,Public toilet not functioning at the main road for almost a year.,Resolved,No,No,4,Good communication throughout.
ISS-1321,Nyarugenge,Nyamirambo,Rwezamenyo II,4/7/2025,28/07/2025,public Safety,Sector,Public toilet not functioning behind the local office for 2 months now.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1322,Nyarugenge,Kigali,Kiyovu,12/7/2025,,Health and Services ,Cell,Water shortage in the area in the village center for over a month.,Escalated,Yes,Yes,,
ISS-1323,Kicukiro,Gikondo,Rwimbogo,12/3/2025,20/03/2025,Education,Cell,Water shortage in the area in the village center for several weeks.,Resolved,No,No,5,Good communication throughout.
ISS-1324,Nyarugenge,Kigali,Muhima,13/05/2025,20/05/2025,Water & sanitation,Cell,Road full of potholes in the residential area for several weeks.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1325,Nyarugenge,Nyamirambo,Mumena,3/3/2025,23/03/2025,public Safety,Cell,Illegal dumping of waste near the health post for several weeks.,Resolved,No,Yes,1,Good communication throughout.
ISS-1326,Gasabo,Kimironko,Nyagatovu,18/04/2025,10/5/2025,public Safety,District,Unfinished construction causing hazards by the primary school for 2 months now.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1327,Gasabo,Remera,Rukiri II,25/02/2025,,Health and Services ,Sector,Unfinished construction causing hazards at the football field for 1 week.,Open,No,Yes,,
ISS-1328,Kicukiro,Gikondo,Gikondo,29/06/2025,20/07/2025,public Safety,Sector,Flooding in homes after rain at the main road for over a month.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1329,Gasabo,Kimironko,Bibare,18/05/2025,6/6/2025,Education,Cell,Water shortage in the area at the football field for almost a year.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1330,Nyarugenge,Kigali,Muhima,23/01/2025,27/01/2025,Health and Services ,Cell,Poor internet connectivity in public offices near the market for 2 months now.,Resolved,No,No,5,Good communication throughout.
ISS-1331,Nyarugenge,Nyamirambo,Rwezamenyo I,1/7/2025,,Health and Services ,Cell,Garbage collection delay at the main road for 2 months now.,Open,No,Yes,,
ISS-1332,Gasabo,Kimironko,Nyagatovu,8/3/2025,,Social services,District,Lack of waste bins in public areas by the primary school since this morning.,Open,No,Yes,,
ISS-1333,Nyarugenge,Kigali,Muhima,26/07/2025,12/8/2025,Health and Services ,Sector,Public toilet not functioning near the market for almost a year.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1334,Nyarugenge,Nyamirambo,Rwezamenyo I,15/01/2025,3/2/2025,Social services,Sector,Overgrown bushes blocking footpaths by the primary school since yesterday.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1335,Gasabo,Kimironko,Bibare,9/7/2025,11/7/2025,Health and Services ,Cell,Garbage collection delay near the health post for several weeks.,Resolved,No,No,4,Took longer than expected.
ISS-1336,Gasabo,Kimironko,Nyagatovu,8/8/2025,,Education,Cell,Damaged bridge making crossing difficult in the village center for several weeks.,Escalated,Yes,No,,
ISS-1337,Nyarugenge,Kigali,Kiyovu,4/7/2025,31/07/2025,Education,Sector,Noise pollution from nearby bars in the residential area since yesterday.,Resolved,No,Yes,1,Good communication throughout.
ISS-1338,Kicukiro,Kigarama,Kigarama III,25/07/2025,27/07/2025,Education,Cell,Public transport shortage during rush hours in the residential area for almost a year.,Resolved,No,No,5,Service was quick and effective.
ISS-1339,Kicukiro,Gikondo,Rwimbogo,27/04/2025,,Health and Services ,District,Public transport shortage during rush hours near the health post since last week.,Open,No,Yes,,
ISS-1340,Kicukiro,Gikondo,Gikondo,5/4/2025,21/04/2025,Education,Sector,Flooding in homes after rain at the football field for over a month.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1341,Nyarugenge,Nyamirambo,Mumena,1/3/2025,22/03/2025,public Safety,Cell,Road full of potholes by the primary school for almost a year.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1342,Gasabo,Kimironko,Kibagabaga,16/05/2025,30/05/2025,Health and Services ,Cell,Damaged bridge making crossing difficult near the market for 1 week.,Resolved,No,No,4,Service was quick and effective.
ISS-1343,Gasabo,Kimironko,Bibare,16/04/2025,28/04/2025,Education,District,Illegal dumping of waste near the health post for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1344,Gasabo,Remera,Rukiri II,1/6/2025,15/06/2025,public Safety,Cell,Blocked drainage causing floods in the residential area since this morning.,Resolved,No,No,5,Took longer than expected.
ISS-1345,Gasabo,Kimironko,Nyagatovu,1/8/2025,12/8/2025,public Safety,District,Public toilet not functioning at the football field since this morning.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1346,Gasabo,Remera,Nyabisindu,9/2/2025,,Social services,Cell,Damaged bridge making crossing difficult at the football field for almost a year.,In Progress,No,Yes,,
ISS-1347,Kicukiro,Gikondo,Rwimbogo,17/07/2025,27/07/2025,Social services,Sector,Damaged bridge making crossing difficult at the main road for 3 days.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1348,Gasabo,Remera,Nyabisindu,25/02/2025,8/3/2025,Social services,Cell,Garbage collection delay near the river since last week.,Resolved,No,No,3,Service was quick and effective.
ISS-1349,Nyarugenge,Nyamirambo,Rwezamenyo I,23/06/2025,20/07/2025,Social services,Cell,Water shortage in the area near the river since the rainy season began.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1350,Kicukiro,Gikondo,Gikondo,29/04/2025,,Education,Cell,Open sewage causing bad smell by the primary school for almost a year.,Open,No,Yes,,
ISS-1351,Gasabo,Remera,Nyabisindu,30/07/2025,21/08/2025,Education,Cell,School lacks enough desks next to the bus stop for almost a year.,Resolved,No,Yes,1,Good communication throughout.
ISS-1352,Nyarugenge,Kigali,Kiyovu,15/06/2025,20/06/2025,Health and Services ,Cell,Electricity blackout in the neighborhood behind the local office for almost a year.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1353,Gasabo,Remera,Rukiri I,21/04/2025,4/5/2025,Education,District,Blocked drainage causing floods in the residential area since the rainy season began.,Resolved,No,No,4,Service was quick and effective.
ISS-1354,Kicukiro,Gikondo,Kanserege,12/3/2025,10/4/2025,Education,Cell,Illegal dumping of waste in the village center since this morning.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1355,Nyarugenge,Nyamirambo,Rwezamenyo II,21/05/2025,24/05/2025,public Safety,Sector,Poor internet connectivity in public offices near the river for 2 months now.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1356,Gasabo,Kimironko,Bibare,25/07/2025,26/07/2025,Education,District,Damaged bridge making crossing difficult by the primary school since yesterday.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1357,Kicukiro,Gikondo,Gikondo,9/5/2025,18/05/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs at the football field since the rainy season began.,Resolved,No,No,3,Service was quick and effective.
ISS-1358,Kicukiro,Kigarama,Kigarama I,16/05/2025,4/6/2025,Health and Services ,Sector,Unsafe pedestrian crossing without signs at the main road for 1 week.,Resolved,No,Yes,2,Took longer than expected.
ISS-1359,Gasabo,Remera,Rukiri II,28/07/2025,21/08/2025,Water & sanitation,District,Broken streetlight in the village center since the rainy season began.,Resolved,No,Yes,1,Took longer than expected.
ISS-1360,Nyarugenge,Kigali,Nyarugenge,1/6/2025,25/06/2025,Education,Cell,Lack of waste bins in public areas near the market for 1 week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1361,Gasabo,Kimironko,Kibagabaga,18/02/2025,16/03/2025,Education,District,Electricity blackout in the neighborhood near the health post since yesterday.,Resolved,No,Yes,4,Good communication throughout.
ISS-1362,Kicukiro,Kigarama,Kigarama II,1/3/2025,2/3/2025,Health and Services ,Cell,Overgrown bushes blocking footpaths at the football field since the rainy season began.,Resolved,No,No,5,Service was quick and effective.
ISS-1363,Kicukiro,Kigarama,Kigarama I,16/01/2025,,Education,Sector,Illegal dumping of waste by the primary school since yesterday.,Escalated,Yes,Yes,,
ISS-1364,Nyarugenge,Nyamirambo,Mumena,6/4/2025,28/04/2025,Water & sanitation,Cell,Unsafe pedestrian crossing without signs near the market since this morning.,Resolved,No,Yes,4,Good communication throughout.
ISS-1365,Gasabo,Kimironko,Nyagatovu,7/7/2025,2/8/2025,Education,Cell,Flooding in homes after rain in the residential area since the rainy season began.,Resolved,No,Yes,4,"Poor handling, not happy."
ISS-1366,Kicukiro,Kigarama,Kigarama III,27/02/2025,26/03/2025,Social services,Sector,School lacks enough desks by the primary school for several weeks.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1367,Kicukiro,Gikondo,Kanserege,27/05/2025,21/06/2025,Health and Services ,District,Health post has no medicines at the main road for over a month.,Resolved,No,Yes,1,Took longer than expected.
ISS-1368,Nyarugenge,Kigali,Muhima,8/5/2025,,Social services,Cell,Overgrown bushes blocking footpaths near the health post since this morning.,Escalated,Yes,Yes,,
ISS-1369,Gasabo,Remera,Rukiri I,23/01/2025,14/02/2025,Education,District,Water shortage in the area in the village center since yesterday.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1370,Gasabo,Kimironko,Bibare,7/3/2025,31/03/2025,Health and Services ,Sector,Broken streetlight near the health post for over a month.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1371,Kicukiro,Gikondo,Gikondo,7/5/2025,19/05/2025,Education,Sector,Lack of waste bins in public areas near the river for over a month.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1372,Gasabo,Kimironko,Kibagabaga,19/01/2025,21/01/2025,Education,Sector,Broken streetlight in the village center for several weeks.,Resolved,No,No,5,Service was quick and effective.
ISS-1373,Kicukiro,Gikondo,Kanserege,7/4/2025,,Water & sanitation,Cell,Electricity blackout in the neighborhood at the main road for over a month.,Open,No,Yes,,
ISS-1374,Nyarugenge,Nyamirambo,Rwezamenyo I,30/06/2025,,Social services,Sector,Lack of waste bins in public areas in the residential area for almost a year.,Escalated,Yes,Yes,,
ISS-1375,Gasabo,Kimironko,Bibare,22/02/2025,8/3/2025,Health and Services ,Sector,School lacks enough desks in the village center since the rainy season began.,Resolved,No,No,5,Good communication throughout.
ISS-1376,Nyarugenge,Kigali,Muhima,25/01/2025,,Water & sanitation,Cell,Lack of waste bins in public areas near the market for over a month.,Escalated,Yes,Yes,,
ISS-1377,Nyarugenge,Kigali,Kiyovu,20/04/2025,,Water & sanitation,Cell,School lacks enough desks behind the local office since this morning.,Escalated,Yes,Yes,,
ISS-1378,Nyarugenge,Kigali,Kiyovu,13/02/2025,16/02/2025,Health and Services ,Cell,Flooding in homes after rain at the main road since the rainy season began.,Resolved,No,No,5,Service was quick and effective.
ISS-1379,Kicukiro,Gikondo,Rwimbogo,14/06/2025,20/06/2025,Water & sanitation,Cell,Broken streetlight in the village center for several weeks.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1380,Kicukiro,Kigarama,Kigarama II,30/04/2025,27/05/2025,Water & sanitation,Sector,Unfinished construction causing hazards in the village center for over a month.,Resolved,No,Yes,3,Good communication throughout.
ISS-1381,Gasabo,Remera,Rukiri II,30/03/2025,13/04/2025,Health and Services ,District,Poor internet connectivity in public offices at the main road for almost a year.,Resolved,No,No,5,Took longer than expected.
ISS-1382,Nyarugenge,Nyamirambo,Rwezamenyo I,25/06/2025,11/7/2025,public Safety,District,Noise pollution from nearby bars near the health post since yesterday.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1383,Kicukiro,Kigarama,Kigarama II,13/05/2025,4/6/2025,Social services,District,Public transport shortage during rush hours near the health post since this morning.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1384,Kicukiro,Kigarama,Kigarama I,11/1/2025,2/2/2025,Education,Cell,Unfinished construction causing hazards behind the local office since the rainy season began.,Resolved,No,Yes,4,Took longer than expected.
ISS-1385,Nyarugenge,Nyamirambo,Rwezamenyo II,26/07/2025,,Water & sanitation,District,Illegal dumping of waste at the main road since this morning.,In Progress,No,Yes,,
ISS-1386,Nyarugenge,Kigali,Muhima,28/04/2025,29/04/2025,Water & sanitation,District,Public transport shortage during rush hours in the residential area since the rainy season began.,Resolved,No,No,5,Service was quick and effective.
ISS-1387,Kicukiro,Kigarama,Kigarama I,14/07/2025,18/07/2025,Social services,District,Public transport shortage during rush hours next to the bus stop for 2 months now.,Resolved,No,No,4,Good communication throughout.
ISS-1388,Gasabo,Kimironko,Kibagabaga,9/4/2025,28/04/2025,public Safety,Sector,Damaged bridge making crossing difficult by the primary school for several weeks.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1389,Gasabo,Kimironko,Nyagatovu,24/06/2025,26/06/2025,Social services,District,Damaged bridge making crossing difficult in the village center for 2 months now.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1390,Nyarugenge,Nyamirambo,Mumena,6/1/2025,1/2/2025,Water & sanitation,Sector,Damaged bridge making crossing difficult in the residential area for 1 week.,Resolved,No,Yes,3,Very satisfied with the outcome.
ISS-1391,Kicukiro,Gikondo,Gikondo,18/03/2025,2/4/2025,Education,Cell,Unfinished construction causing hazards behind the local office since this morning.,Resolved,No,Yes,3,Very satisfied with the outcome.
ISS-1392,Nyarugenge,Kigali,Muhima,24/02/2025,10/3/2025,Education,Sector,Health post has no medicines by the primary school for over a month.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1393,Nyarugenge,Kigali,Kiyovu,21/03/2025,3/4/2025,Education,Cell,Overgrown bushes blocking footpaths in the residential area for 3 days.,Resolved,No,No,3,Good communication throughout.
ISS-1394,Nyarugenge,Nyamirambo,Mumena,5/3/2025,,Education,Cell,Damaged bridge making crossing difficult in the residential area since this morning.,Open,No,Yes,,
ISS-1395,Kicukiro,Kigarama,Kigarama II,12/4/2025,16/04/2025,public Safety,District,Blocked drainage causing floods at the main road since yesterday.,Resolved,No,No,4,Took longer than expected.
ISS-1396,Kicukiro,Gikondo,Gikondo,31/05/2025,12/6/2025,Education,Sector,Unsafe pedestrian crossing without signs near the river since the rainy season began.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1397,Nyarugenge,Nyamirambo,Rwezamenyo I,11/2/2025,8/3/2025,public Safety,Cell,Lack of waste bins in public areas behind the local office for almost a year.,Resolved,No,Yes,2,Took longer than expected.
ISS-1398,Nyarugenge,Nyamirambo,Rwezamenyo II,15/04/2025,13/05/2025,Water & sanitation,District,Noise pollution from nearby bars in the residential area since the rainy season began.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1399,Gasabo,Remera,Rukiri II,5/6/2025,15/06/2025,Education,Sector,Water shortage in the area behind the local office for 1 week.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1400,Nyarugenge,Kigali,Nyarugenge,6/3/2025,16/03/2025,Water & sanitation,Sector,Noise pollution from nearby bars in the residential area for 2 months now.,Resolved,No,No,5,Good communication throughout.
ISS-1401,Nyarugenge,Kigali,Muhima,19/06/2025,16/07/2025,Health and Services ,District,School lacks enough desks in the residential area since the rainy season began.,Resolved,No,Yes,3,Good communication throughout.
ISS-1402,Nyarugenge,Kigali,Nyarugenge,28/03/2025,18/04/2025,public Safety,Cell,Broken streetlight near the market since this morning.,Resolved,No,Yes,3,Very satisfied with the outcome.
ISS-1403,Kicukiro,Gikondo,Kanserege,15/01/2025,10/2/2025,Social services,Cell,Road full of potholes next to the bus stop since this morning.,Resolved,No,Yes,4,"Poor handling, not happy."
ISS-1404,Kicukiro,Kigarama,Kigarama III,8/3/2025,21/03/2025,public Safety,Sector,Blocked drainage causing floods next to the bus stop for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1405,Gasabo,Remera,Rukiri I,20/07/2025,11/8/2025,Social services,District,Overgrown bushes blocking footpaths in the village center for 1 week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1406,Kicukiro,Kigarama,Kigarama III,25/01/2025,18/02/2025,Education,Sector,Noise pollution from nearby bars at the football field since last week.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1407,Nyarugenge,Nyamirambo,Rwezamenyo II,1/4/2025,29/04/2025,Health and Services ,Cell,Health post has no medicines near the health post since this morning.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1408,Kicukiro,Gikondo,Rwimbogo,6/8/2025,,Water & sanitation,Sector,School lacks enough desks behind the local office for almost a year.,Open,No,No,,
ISS-1409,Nyarugenge,Nyamirambo,Rwezamenyo I,24/06/2025,4/7/2025,Social services,Cell,Noise pollution from nearby bars near the health post for 2 months now.,Resolved,No,No,4,Service was quick and effective.
ISS-1410,Gasabo,Remera,Nyabisindu,28/04/2025,,public Safety,District,Flooding in homes after rain near the health post for 1 week.,Escalated,Yes,Yes,,
ISS-1411,Gasabo,Remera,Rukiri I,12/6/2025,,Education,Sector,Open sewage causing bad smell at the main road since the rainy season began.,In Progress,No,Yes,,
ISS-1412,Kicukiro,Kigarama,Kigarama I,21/07/2025,24/07/2025,Education,Sector,Road full of potholes in the village center for 1 week.,Resolved,No,No,4,Good communication throughout.
ISS-1413,Kicukiro,Gikondo,Rwimbogo,2/1/2025,,public Safety,Sector,Garbage collection delay in the village center for 2 months now.,Open,No,Yes,,
ISS-1414,Nyarugenge,Kigali,Kiyovu,5/1/2025,26/01/2025,Social services,Cell,Public transport shortage during rush hours in the residential area since last week.,Resolved,No,Yes,2,Took longer than expected.
ISS-1415,Nyarugenge,Kigali,Nyarugenge,9/5/2025,15/05/2025,Health and Services ,Sector,Public transport shortage during rush hours in the residential area since this morning.,Resolved,No,No,4,Service was quick and effective.
ISS-1416,Kicukiro,Gikondo,Rwimbogo,28/03/2025,19/04/2025,Social services,District,Public toilet not functioning next to the bus stop for over a month.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1417,Kicukiro,Gikondo,Kanserege,28/02/2025,5/3/2025,public Safety,Cell,Unfinished construction causing hazards in the village center for 2 months now.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1418,Gasabo,Remera,Nyabisindu,13/06/2025,1/7/2025,Health and Services ,Sector,School lacks enough desks near the health post for almost a year.,Resolved,No,Yes,1,Good communication throughout.
ISS-1419,Gasabo,Remera,Rukiri II,30/01/2025,12/2/2025,Health and Services ,District,Unfinished construction causing hazards in the village center since yesterday.,Resolved,No,No,3,Good communication throughout.
ISS-1420,Kicukiro,Gikondo,Gikondo,25/06/2025,5/7/2025,Education,District,Unsafe pedestrian crossing without signs near the health post for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1421,Gasabo,Kimironko,Kibagabaga,1/8/2025,18/08/2025,Education,Sector,Road full of potholes near the market for 1 week.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1422,Gasabo,Remera,Rukiri I,19/07/2025,5/8/2025,Social services,Cell,Damaged bridge making crossing difficult behind the local office for 2 months now.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1423,Nyarugenge,Kigali,Nyarugenge,8/5/2025,31/05/2025,Health and Services ,District,Illegal dumping of waste in the residential area for almost a year.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1424,Gasabo,Remera,Nyabisindu,21/06/2025,24/06/2025,Health and Services ,District,Unsafe pedestrian crossing without signs by the primary school for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1425,Nyarugenge,Nyamirambo,Rwezamenyo I,9/3/2025,13/03/2025,public Safety,Sector,Damaged bridge making crossing difficult behind the local office since yesterday.,Resolved,No,No,4,Service was quick and effective.
ISS-1426,Kicukiro,Gikondo,Gikondo,30/01/2025,,public Safety,District,Broken streetlight near the river for 2 months now.,Open,No,Yes,,
ISS-1427,Gasabo,Remera,Rukiri II,23/04/2025,2/5/2025,Water & sanitation,Sector,Poor internet connectivity in public offices at the football field for 1 week.,Resolved,No,No,5,Service was quick and effective.
ISS-1428,Kicukiro,Gikondo,Kanserege,27/04/2025,10/5/2025,public Safety,Sector,Road full of potholes next to the bus stop since yesterday.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1429,Kicukiro,Kigarama,Kigarama I,27/01/2025,15/02/2025,Health and Services ,Cell,Lack of waste bins in public areas by the primary school for over a month.,Resolved,No,Yes,4,Good communication throughout.
ISS-1430,Nyarugenge,Kigali,Kiyovu,6/6/2025,,public Safety,Sector,Lack of waste bins in public areas near the health post for several weeks.,Escalated,Yes,Yes,,
ISS-1431,Nyarugenge,Nyamirambo,Rwezamenyo I,23/04/2025,,Health and Services ,Sector,Unsafe pedestrian crossing without signs next to the bus stop for 1 week.,In Progress,No,Yes,,
ISS-1432,Nyarugenge,Kigali,Kiyovu,25/05/2025,16/06/2025,Social services,District,Lack of waste bins in public areas behind the local office for 3 days.,Resolved,No,Yes,3,Good communication throughout.
ISS-1433,Nyarugenge,Nyamirambo,Rwezamenyo I,19/06/2025,2/7/2025,public Safety,Sector,Unfinished construction causing hazards in the village center since the rainy season began.,Resolved,No,No,3,Good communication throughout.
ISS-1434,Nyarugenge,Nyamirambo,Mumena,7/8/2025,13/08/2025,Social services,Sector,School lacks enough desks in the residential area since yesterday.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1435,Kicukiro,Kigarama,Kigarama II,27/02/2025,12/3/2025,Health and Services ,District,Water shortage in the area at the main road for 3 days.,Resolved,No,No,4,Took longer than expected.
ISS-1436,Gasabo,Kimironko,Nyagatovu,8/8/2025,19/08/2025,public Safety,Cell,Noise pollution from nearby bars near the market for 1 week.,Resolved,No,No,3,The issue is still not fully fixed.
ISS-1437,Nyarugenge,Nyamirambo,Mumena,23/05/2025,19/06/2025,public Safety,Cell,Garbage collection delay at the main road for 1 week.,Resolved,No,Yes,1,Good communication throughout.
ISS-1438,Nyarugenge,Kigali,Muhima,21/06/2025,2/7/2025,Education,District,Public transport shortage during rush hours in the residential area since yesterday.,Resolved,No,No,4,Service was quick and effective.
ISS-1439,Gasabo,Kimironko,Nyagatovu,2/5/2025,14/05/2025,Social services,District,Damaged bridge making crossing difficult at the main road since last week.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1440,Gasabo,Remera,Rukiri II,1/4/2025,27/04/2025,Health and Services ,Sector,Lack of waste bins in public areas next to the bus stop for 1 week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1441,Nyarugenge,Kigali,Muhima,7/5/2025,,Health and Services ,Cell,Health post has no medicines at the main road for several weeks.,Escalated,Yes,Yes,,
ISS-1442,Nyarugenge,Kigali,Kiyovu,18/02/2025,,Social services,Cell,Noise pollution from nearby bars near the river since this morning.,In Progress,No,Yes,,
ISS-1443,Gasabo,Kimironko,Bibare,12/1/2025,8/2/2025,Health and Services ,Sector,Illegal dumping of waste in the residential area for several weeks.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1444,Kicukiro,Kigarama,Kigarama II,13/01/2025,27/01/2025,Social services,District,Poor internet connectivity in public offices in the village center for 2 months now.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1445,Nyarugenge,Nyamirambo,Rwezamenyo II,28/07/2025,,Education,District,Noise pollution from nearby bars at the main road since yesterday.,In Progress,No,Yes,,
ISS-1446,Nyarugenge,Kigali,Muhima,27/06/2025,6/7/2025,public Safety,District,Water shortage in the area by the primary school for almost a year.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1447,Kicukiro,Gikondo,Kanserege,29/06/2025,16/07/2025,public Safety,District,Broken streetlight in the residential area since the rainy season began.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1448,Nyarugenge,Kigali,Muhima,23/02/2025,5/3/2025,Education,Cell,Electricity blackout in the neighborhood near the health post since yesterday.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1449,Nyarugenge,Nyamirambo,Rwezamenyo II,27/06/2025,20/07/2025,Social services,District,Open sewage causing bad smell at the football field for almost a year.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1450,Nyarugenge,Kigali,Muhima,11/7/2025,29/07/2025,public Safety,District,Poor internet connectivity in public offices in the village center since yesterday.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1451,Gasabo,Remera,Nyabisindu,21/06/2025,,Education,Cell,Noise pollution from nearby bars near the market for 3 days.,In Progress,No,Yes,,
ISS-1452,Gasabo,Kimironko,Kibagabaga,26/06/2025,3/7/2025,Education,Cell,Noise pollution from nearby bars in the village center since the rainy season began.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1453,Kicukiro,Kigarama,Kigarama III,15/06/2025,23/06/2025,Education,District,Public transport shortage during rush hours near the river since yesterday.,Resolved,No,No,5,"Poor handling, not happy."
